Query,Iteration,Execution Time (seconds)
Carrier_delay,1,0.12590527534484863
Carrier_delay,2,0.03105616569519043
Carrier_delay,3,0.015813112258911133
Carrier_delay,4,0.013257265090942383
Carrier_delay,5,0.015468835830688477
NAS_delay,1,0.020400047302246094
NAS_delay,2,0.01791667938232422
NAS_delay,3,0.014062881469726562
NAS_delay,4,0.016413450241088867
NAS_delay,5,0.010883331298828125
Weather_delay,1,0.03438305854797363
Weather_delay,2,0.0215609073638916
Weather_delay,3,0.01385951042175293
Weather_delay,4,0.011708736419677734
Weather_delay,5,0.01152944564819336
Late_aircraft_delay,1,0.062302589416503906
Late_aircraft_delay,2,0.02157115936279297
Late_aircraft_delay,3,0.01224660873413086
Late_aircraft_delay,4,0.012730836868286133
Late_aircraft_delay,5,0.012142658233642578
Security_delay,1,0.043671369552612305
Security_delay,2,0.02426004409790039
Security_delay,3,0.015128374099731445
Security_delay,4,0.010844230651855469
Security_delay,5,0.011061906814575195
